event_id	PERMNO	EventDate	CalenderDate	EventTime	Ri	Rm
147	43721	14MAR2011	22MAR2011	6	-0.001716628	-0.0034
147	43721	14MAR2011	23MAR2011	7	7.48338E-05	0.0031
147	43721	14MAR2011	24MAR2011	8	-0.000523341	0.0096
147	43721	14MAR2011	25MAR2011	9	0.000373994	0.0041
147	43721	14MAR2011	28MAR2011	10	0.001495304	-0.0035
147	43721	14MAR2011	29MAR2011	11	0.000522638	0.0074
147	43721	14MAR2011	30MAR2011	12	-0.000074689	0.0079
147	43721	14MAR2011	31MAR2011	13	-0.000373015	-0.0011
147	43721	14MAR2011	01APR2011	14	-0.001194414	0.0052
147	43721	14MAR2011	04APR2011	15	0.001046333	0.0009
147	43721	14MAR2011	05APR2011	16	0.000671915	0.0008
147	43721	14MAR2011	06APR2011	17	-0.000149252	0.0021
147	43721	14MAR2011	07APR2011	18	0.000596984	-0.002
147	43721	14MAR2011	08APR2011	19	-0.00104407	-0.0047
147	43721	14MAR2011	11APR2011	20	0.000671865	-0.0039
147	43721	14MAR2011	12APR2011	21	0.000223919	-0.0084
147	43721	14MAR2011	13APR2011	22	0	0.0011
147	43721	14MAR2011	14APR2011	23	0.000223755	0
147	43721	14MAR2011	15APR2011	24	0.001043993	0.004400001
147	43721	14MAR2011	18APR2011	25	7.44525E-05	-0.0115
147	43721	14MAR2011	19APR2011	26	0.001266281	0.005
147	43721	14MAR2011	20APR2011	27	-0.000818335	0.0145
147	43721	14MAR2011	21APR2011	28	0.001265715	0.0056
147	43721	14MAR2011	25APR2011	29	0.000594898	-0.0016
147	43721	14MAR2011	26APR2011	30	0.00022294	0.0089
